dataset,repeat,method,tier,device,n_ref,n_query,fit_s,predict_s,peak_mem_mb,n,pct_rejected,accuracy,macro_f1,kappa,ontology_concordance
lung_intra,0,scarches,deep,mps,8109,2694,71.93336854199879,18.302696874947287,1915.273216,2694,0.0,0.9086859688195992,0.9166444407250788,0.90627232793173,0.9302152932442465
lung_intra,1,scarches,deep,mps,8109,2694,75.78051370801404,17.58813112496864,1628.700672,2694,0.0,0.9123979213066072,0.9209986347889288,0.91008493920186,0.9365256124721604
lung_intra,2,scarches,deep,mps,8109,2694,70.29804108396638,16.909092582995072,1757.364224,2694,0.0,0.9101707498144024,0.9167387023968558,0.90780279651331,0.9342984409799554
lung_cross,0,actinn-jax,classical,cpu,14390,13550,35.382536333054304,1.1095891249133274,3634.806784,13550,0.0,0.3580811808118081,0.1757045235677418,0.3484093003254064,0.7486346863468635
lung_cross,1,actinn-jax,classical,cpu,14390,13550,33.6473518749699,1.0252052081050351,3993.76384,13550,0.0,0.3580811808118081,0.1757045235677418,0.3484093003254064,0.7486346863468635
lung_cross,2,actinn-jax,classical,cpu,14390,13550,37.37560837494675,1.811597708030604,4200.0384,13550,0.0,0.3580811808118081,0.1757045235677418,0.3484093003254064,0.7486346863468635
lung_cross,0,svm,classical,cpu,14390,13550,46.92255200003274,0.292860583984293,2636.644352,13550,0.0,0.3521033210332103,0.175344580138557,0.3425280092896785,0.7473062730627307
lung_cross,1,svm,classical,cpu,14390,13550,174.531353832921,0.4183536249911412,2626.420736,13550,0.0,0.3521033210332103,0.1759801519245387,0.3425394885052288,0.7480442804428045
lung_cross,2,svm,classical,cpu,14390,13550,66.22080233402085,0.3552217920077964,2627.059712,13550,0.0,0.3513653136531365,0.176081465480065,0.3418122500513408,0.7461254612546125
lung_cross,0,knn,classical,cpu,14390,13550,4.77620358299464,1.1049950839951634,2660.089856,13550,0.0,0.3487822878228782,0.1716223851145098,0.3390605115084317,0.7450922509225092
lung_cross,1,knn,classical,cpu,14390,13550,4.798381959088147,0.8709855830529705,2644.230144,13550,0.0,0.3490774907749077,0.1724380844661769,0.3393782746443933,0.7451660516605166
lung_cross,2,knn,classical,cpu,14390,13550,4.619184541981667,0.8365575829520822,2653.454336,13550,0.0,0.3495940959409594,0.1723454916027458,0.3398427168513973,0.747380073800738
lung_cross,0,celltypist,classical,cpu,14390,13550,96.04633066698445,1.2020809170790017,3166.273536,13550,0.0,0.3558671586715867,0.1763903004019449,0.3463746542784383,0.7501107011070111
lung_cross,1,celltypist,classical,cpu,14390,13550,95.97865512489808,1.110705958912149,3164.209152,13550,0.0,0.3560147601476015,0.1763975768747683,0.3465179046438309,0.750479704797048
lung_cross,2,celltypist,classical,cpu,14390,13550,100.38746187509967,1.0011972079519182,2903.506944,13550,0.0,0.3555719557195572,0.1765514585438621,0.3460946563833491,0.7490036900369004
lung_cross,0,singler,classical,cpu,14390,13550,0.3892472910229116,154.58450137497857,5740.70784,13550,0.0,0.3571217712177121,0.1786584730598036,0.3475128524860983,0.765239852398524
lung_cross,1,singler,classical,cpu,14390,13550,0.3924593339907005,156.99078479094896,5754.372096,13550,0.0,0.3571217712177121,0.1786584730598036,0.3475128524860983,0.765239852398524
lung_cross,2,singler,classical,cpu,14390,13550,0.4084847089834511,157.92392083304003,5754.22464,13550,0.0,0.3571217712177121,0.1786584730598036,0.3475128524860983,0.765239852398524
lung_cross,0,scmap-cluster,classical,cpu,14390,13550,0.3950778750004247,17.888016208074987,13483.491328,13550,0.0,0.3400738007380073,0.1688770284900542,0.3298949153603677,0.7507505253677574
lung_cross,1,scmap-cluster,classical,cpu,14390,13550,0.4025980409933254,17.106866333051585,13531.398144,13550,0.0,0.3400738007380073,0.1688770284900542,0.3298949153603677,0.7508255779045332
lung_cross,2,scmap-cluster,classical,cpu,14390,13550,0.4188158330507576,16.675834833062254,13530.923008,13550,0.0,0.3400738007380073,0.1688770284900542,0.3298949153603677,0.7508255779045332
lung_cross,0,scanvi,deep,mps,14390,13550,0.0118740419857203,166.39040045894217,3779.690496,13550,0.0,0.3607380073800738,0.1766286746126627,0.351053632670616,0.7700369003690037
lung_cross,1,scanvi,deep,mps,14390,13550,0.0103625000920146,168.43054274993483,3775.889408,13550,0.0,0.360590405904059,0.1778627652564808,0.3510754208083303,0.7690036900369004
